OTUID	BeanRoot1ng0clamp	BeanRoot1ng25clamp	BeanRoot1ng50clamp	BeanRoot1ng75clamp	SGLeaf100ng0clamp	SGLeaf100ng25clamp	SGLeaf100ng50clamp	SGLeaf100ng75clamp	SGLeaf10ng0clamp	SGLeaf10ng25clamp	SGLeaf10ng50clamp	SGLeaf10ng75clamp	SGLeaf1ng0clamp	SGLeaf1ng25clamp	SGLeaf1ng50clamp	SGLeaf1ng75clamp
OTU103	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
OTU63	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
OTU113	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
OTU201	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU182	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU150	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU176	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
OTU147	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
OTU159	0	0	0	0	11	4	3	0	18	2	1	5	15	4	1	7
OTU9	0	0	0	0	1	67	129	154	19	39	64	28	10	71	38	25
OTU143	0	0	0	0	3	4	2	2	6	3	4	6	5	7	3	0
OTU85	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0
OTU24	0	0	0	0	1	97	130	179	5	79	75	53	4	52	30	18
OTU155	0	0	0	0	0	11	39	30	4	6	14	10	1	7	3	0
OTU152	0	0	0	0	0	28	89	66	0	31	57	18	0	0	23	1
OTU46	0	0	0	0	0	4	5	0	0	8	0	0	0	14	0	0
OTU119	0	0	0	0	0	23	55	69	3	13	28	19	4	30	48	16
OTU156	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU134	0	0	0	0	0	1	2	0	0	0	1	0	0	4	1	0
OTU28	0	0	0	0	0	2	14	7	0	6	13	1	0	5	3	0
OTU161	0	0	0	0	0	2	0	0	0	2	1	0	2	2	0	0
OTU101	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
OTU49	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0
OTU83	0	0	0	0	0	0	7	1	0	0	0	1	0	0	0	0
OTU157	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU162	0	0	0	0	0	0	9	0	2	1	2	3	0	6	3	0
OTU153	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
OTU167	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0
OTU154	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU129	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU105	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
OTU165	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU166	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU168	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU118	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU139	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0
OTU164	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU169	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU170	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU145	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
OTU158	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
OTU133	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
