OTUID	BeanRoot1ng0clamp	BeanRoot1ng25clamp	BeanRoot1ng50clamp	BeanRoot1ng75clamp	SGLeaf100ng0clamp	SGLeaf100ng25clamp	SGLeaf100ng50clamp	SGLeaf100ng75clamp	SGLeaf10ng0clamp	SGLeaf10ng25clamp	SGLeaf10ng50clamp	SGLeaf10ng75clamp	SGLeaf1ng0clamp	SGLeaf1ng25clamp	SGLeaf1ng50clamp	SGLeaf1ng75clamp
OTU91	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU71	0	13	5	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU138	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU45	0	12	4	5	0	0	0	0	0	0	0	0	0	0	0	0
OTU137	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU221	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU43	0	7	0	10	0	0	0	0	0	0	0	0	0	0	0	0
OTU37	0	13	3	14	0	0	0	0	0	0	0	0	0	0	0	0
OTU77	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU58	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU218	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU102	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU39	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU174	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU35	0	25	8	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU108	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU111	0	10	0	11	0	0	0	0	0	0	0	0	0	0	0	0
OTU205	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU214	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU206	0	7	0	6	0	0	0	0	0	0	0	0	0	0	0	0
OTU57	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU31	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU70	0	4	9	1	0	0	0	0	0	0	0	0	0	0	0	0
